# 6 Degree M1845 (Up to date),,,,
# 3090 data points written for 5 variables.,,,,
# Simulation warnings:,,,,
"#   Recovery device deployment at high speed (23.8 m/s):  ""Drogue""",,,,
"#   Recovery device deployment at high speed (27.7 m/s):  ""Main""",,,,
#,,,,
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Vertical acceleration (m/s^2)
# Event IGNITION occurred at t=0 seconds,,,,
# Event LAUNCH occurred at t=0 seconds,,,,
0.229,6.944,2926.892,19.538,90.9387
0.231,7.073,2927.02,19.72,90.96813
0.233,7.203,2927.15,19.902,90.98775
0.235,7.334,2927.282,20.084,91.00737
0.237,7.466,2927.414,20.266,91.0368
0.239,7.6,2927.547,20.448,91.05642
0.241,7.735,2927.682,20.63,91.08585
0.243,7.871,2927.818,20.812,91.10547
0.245,8.008,2927.955,20.994,91.12509
0.247,8.146,2928.094,21.176,91.15452
0.249,8.286,2928.233,21.359,91.17414
0.251,8.427,2928.374,21.541,91.19376
0.253,8.568,2928.516,21.723,91.22319
0.255,8.712,2928.659,21.906,91.24281
0.257,8.856,2928.803,22.088,91.26243
0.259,9.001,2928.949,22.271,91.29186
0.261,9.148,2929.096,22.453,91.31148
0.263,9.296,2929.244,22.636,91.3311
0.265,9.445,2929.393,22.818,91.36053
0.267,9.596,2929.543,23.001,91.38015
0.269,9.747,2929.695,23.184,91.39977
0.271,9.9,2929.847,23.367,91.4292
0.273,10.054,2930.001,23.549,91.44882
0.275,10.209,2930.156,23.732,91.46844
0.277,10.365,2930.313,23.915,91.49787
0.279,10.523,2930.47,24.098,91.51749
0.281,10.681,2930.629,24.281,91.53711
0.283,10.841,2930.789,24.464,91.55673
0.285,11.003,2930.95,24.647,91.58616
0.287,11.165,2931.112,24.83,91.60578
0.289,11.328,2931.276,25.014,91.6254
0.291,11.493,2931.441,25.197,91.65483
0.293,11.659,2931.607,25.38,91.67445
0.295,11.826,2931.774,25.563,91.69407
0.297,11.995,2931.942,25.747,91.7235
0.299,12.164,2932.112,25.93,91.74312
0.301,12.335,2932.282,26.114,91.76274
0.303,12.507,2932.454,26.297,91.79217
0.305,12.68,2932.627,26.481,91.81179
0.307,12.854,2932.802,26.664,91.83141
0.309,13.03,2932.977,26.848,91.86084
0.311,13.207,2933.154,27.031,91.88046
0.313,13.385,2933.332,27.215,91.90008
0.315,13.564,2933.511,27.399,91.9197
0.317,13.744,2933.692,27.583,91.94913
0.319,13.926,2933.873,27.767,91.96875
0.321,14.109,2934.056,27.951,91.98837
0.323,14.293,2934.24,28.134,92.0178
0.325,14.478,2934.425,28.318,92.03742
0.327,14.664,2934.612,28.502,92.05704
0.329,14.852,2934.799,28.687,92.08647
0.331,15.041,2934.988,28.871,92.10609
0.333,15.231,2935.178,29.055,92.12571
0.335,15.422,2935.369,29.239,92.14533
0.337,15.614,2935.562,29.423,92.17476
0.339,15.808,2935.756,29.608,92.19438
0.341,16.003,2935.95,29.792,92.214
0.343,16.199,2936.147,29.976,92.24343
0.345,16.396,2936.344,30.161,92.26305
0.347,16.595,2936.542,30.345,92.28267
0.349,16.795,2936.742,30.53,92.30229
# Event LAUNCHROD occurred at t=0.351 seconds,,,,
0.351,16.996,2936.943,30.714,92.22381
0.354,17.299,2937.247,30.991,92.25324
0.358,17.76,2937.707,31.406,92.30229
0.365,18.462,2938.41,32.029,92.38077
0.375,19.528,2939.476,32.953,92.49849
0.385,20.624,2940.572,33.879,92.6064
0.395,21.751,2941.699,34.805,92.71431
0.405,22.908,2942.856,35.732,92.83203
0.415,24.096,2944.043,36.661,92.93994
0.425,25.314,2945.261,37.59,93.04785
0.435,26.562,2946.51,38.521,93.15576
0.445,27.842,2947.789,39.453,93.26367
0.455,29.151,2949.099,40.386,93.38139
0.465,30.491,2950.439,41.32,93.4893
0.475,31.862,2951.81,42.255,93.59721
0.485,33.264,2953.212,43.191,93.70512
0.495,34.697,2954.644,44.128,93.81303
0.505,36.16,2956.107,45.067,93.92094
0.515,37.654,2957.601,46.006,94.02885
0.525,39.178,2959.126,46.946,94.13676
0.535,40.734,2960.682,47.888,94.23486
0.545,42.321,2962.268,48.831,94.34277
0.555,43.938,2963.886,49.774,94.45068
0.565,45.587,2965.534,50.719,94.55859
0.575,47.266,2967.214,51.665,94.6665
0.585,48.977,2968.924,52.612,94.7646
0.595,50.719,2970.666,53.559,94.87251
0.605,52.491,2972.439,54.508,94.98042
0.615,54.295,2974.243,55.458,95.07852
0.625,56.13,2976.078,56.409,95.18643
0.635,57.997,2977.944,57.361,95.28453
0.645,59.894,2979.842,58.314,95.39244
0.655,61.823,2981.771,59.268,95.49054
0.665,63.783,2983.731,60.224,95.59845
0.675,65.775,2985.722,61.18,95.69655
0.685,67.798,2987.745,62.137,95.79465
0.695,69.852,2989.799,63.095,95.89275
0.705,71.938,2991.885,64.054,96.00066
0.715,74.055,2994.002,65.014,96.09876
0.725,76.204,2996.151,65.975,96.19686
0.735,78.384,2998.332,66.938,96.29496
0.745,80.596,3000.544,67.901,96.39306
0.755,82.84,3002.787,68.865,96.49116
0.765,85.115,3005.062,69.83,96.58926
0.775,87.422,3007.369,70.796,96.68736
0.785,89.76,3009.708,71.763,96.78546
0.795,92.13,3012.078,72.731,96.88356
0.805,94.532,3014.48,73.7,96.97185
0.815,96.966,3016.914,74.67,97.06995
0.825,99.432,3019.38,75.641,97.16805
0.835,101.93,3021.877,76.612,97.25634
0.845,104.459,3024.407,77.585,97.35444
0.855,107.021,3026.968,78.559,97.44273
0.865,109.614,3029.561,79.533,97.54083
0.875,112.239,3032.187,80.509,97.62912
0.885,114.897,3034.844,81.485,97.72722
0.895,117.586,3037.534,82.463,97.81551
0.905,120.308,3040.255,83.441,97.9038
0.915,123.061,3043.009,84.42,97.99209
0.925,125.847,3045.795,85.4,98.08038
0.935,128.665,3048.612,86.381,98.16867
0.945,131.515,3051.463,87.363,98.25696
0.955,134.397,3054.345,88.346,98.34525
0.965,137.312,3057.26,89.329,98.43354
0.975,140.259,3060.206,90.314,98.52183
0.985,143.238,3063.186,91.299,98.61012
0.995,146.25,3066.197,92.285,98.69841
1.005,149.294,3069.241,93.272,98.77689
1.015,152.37,3072.317,94.26,98.86518
1.025,155.479,3075.426,95.249,98.95347
1.032,157.753,3077.7,95.966,99.01233
1.042,160.918,3080.865,96.957,99.26739
1.052,164.115,3084.062,97.951,99.53226
1.062,167.345,3087.292,98.947,99.79713
1.072,170.607,3090.555,99.946,100.05219
1.082,173.903,3093.85,100.948,100.31706
1.092,177.231,3097.179,101.952,100.57212
1.102,180.593,3100.54,102.958,100.82718
1.112,183.987,3103.935,103.968,101.09205
1.122,187.415,3107.362,104.979,101.34711
1.132,190.876,3110.823,105.994,101.60217
1.142,194.37,3114.317,107.011,101.85723
1.152,197.897,3117.845,108.03,102.11229
1.162,201.458,3121.406,109.052,102.36735
1.172,205.053,3125.001,110.077,102.63222
1.182,208.681,3128.629,111.104,102.88728
1.192,212.343,3132.291,112.134,103.13253
1.202,216.039,3135.987,113.166,103.38759
1.212,219.769,3139.717,114.201,103.64265
1.222,223.533,3143.48,115.239,103.89771
1.232,227.331,3147.278,116.278,104.15277
1.242,231.163,3151.11,117.321,104.40783
1.252,235.029,3154.976,118.366,104.65308
1.262,238.929,3158.877,119.413,104.90814
1.272,242.864,3162.812,120.463,105.1632
1.282,246.834,3166.781,121.516,105.40845
1.292,250.838,3170.785,122.571,105.66351
1.302,254.877,3174.824,123.628,105.90876
1.312,258.95,3178.898,124.688,106.16382
1.322,263.058,3183.006,125.751,106.40907
1.332,267.201,3187.149,126.816,106.66413
1.342,271.38,3191.327,127.883,106.90938
1.352,275.593,3195.54,128.953,107.16444
1.354,276.44,3196.387,129.168,107.21349
1.357,277.713,3197.66,129.489,107.18406
1.361,279.628,3199.575,129.971,107.14482
1.368,282.514,3202.462,130.694,107.08596
1.378,286.82,3206.767,131.764,106.99767
1.388,291.16,3211.108,132.833,106.90938
1.398,295.536,3215.483,133.902,106.82109
1.408,299.946,3219.894,134.969,106.7328
1.418,304.392,3224.339,136.035,106.64451
1.428,308.872,3228.82,137.101,106.55622
1.438,313.388,3233.336,138.166,106.45812
1.448,317.938,3237.886,139.23,106.36983
1.458,322.524,3242.471,140.292,106.28154
1.468,327.144,3247.092,141.354,106.19325
1.478,331.799,3251.747,142.416,106.09515
1.488,336.489,3256.436,143.476,106.00686
1.498,341.213,3261.161,144.535,105.90876
1.508,345.973,3265.92,145.593,105.82047
1.518,350.767,3270.714,146.65,105.72237
1.528,355.595,3275.543,147.707,105.62427
1.538,360.459,3280.406,148.762,105.53598
1.548,365.357,3285.304,149.817,105.43788
1.558,370.289,3290.237,150.87,105.33978
1.568,375.256,3295.204,151.923,105.24168
1.578,380.258,3300.205,152.974,105.14358
1.588,385.294,3305.242,154.025,105.04548
1.598,390.365,3310.312,155.075,104.94738
1.608,395.47,3315.417,156.123,104.84928
1.618,400.609,3320.556,157.171,104.74137
1.628,405.783,3325.73,158.217,104.64327
1.638,410.991,3330.938,159.263,104.53536
1.648,416.233,3336.18,160.308,104.43726
1.658,421.509,3341.457,161.351,104.32935
1.668,426.82,3346.768,162.393,104.22144
1.678,432.165,3352.113,163.435,104.12334
1.688,437.544,3357.492,164.475,104.01543
1.698,442.958,3362.905,165.514,103.89771
1.708,448.405,3368.352,166.552,103.7898
1.718,453.886,3373.834,167.589,103.68189
1.728,459.401,3379.349,168.625,103.56417
1.738,464.951,3384.898,169.66,103.45626
1.748,470.534,3390.482,170.694,103.33854
1.758,476.151,3396.099,171.726,103.22082
1.768,481.802,3401.75,172.758,103.1031
1.778,487.487,3407.434,173.788,102.98538
1.788,493.205,3413.153,174.817,102.86766
1.798,498.958,3418.905,175.844,102.74994
1.808,504.744,3424.691,176.871,102.62241
1.818,510.563,3430.511,177.896,102.50469
1.828,516.417,3436.364,178.92,102.37716
1.838,522.304,3442.251,179.943,102.24963
1.848,528.224,3448.172,180.964,102.1221
1.858,534.178,3454.125,181.985,101.99457
1.868,540.165,3460.113,183.004,101.86704
1.878,546.186,3466.134,184.021,101.73951
1.888,552.24,3472.188,185.038,101.60217
1.898,558.328,3478.275,186.053,101.47464
1.908,564.448,3484.396,187.066,101.3373
1.918,570.602,3490.55,188.079,101.19996
1.928,576.789,3496.737,189.09,101.07243
1.938,583.01,3502.957,190.1,100.93509
1.948,589.263,3509.211,191.108,100.79775
1.958,595.55,3515.497,192.115,100.66041
1.968,601.869,3521.817,193.12,100.52307
1.978,608.222,3528.169,194.124,100.38573
1.988,614.607,3534.554,195.127,100.23858
1.998,621.025,3540.973,196.129,100.10124
2.008,627.476,3547.424,197.129,99.9639
2.018,633.96,3553.908,198.127,99.82656
2.028,640.477,3560.424,199.124,99.67941
2.038,647.026,3566.973,200.12,99.54207
2.048,653.608,3573.555,201.115,99.39492
2.058,660.222,3580.17,202.107,99.25758
2.068,666.87,3586.817,203.099,99.11043
2.078,673.549,3593.497,204.089,98.97309
2.088,680.261,3600.209,205.078,98.82594
2.098,687.006,3606.953,206.065,98.6886
2.108,693.783,3613.73,207.051,98.54145
2.118,700.592,3620.539,208.035,98.3943
2.128,707.433,3627.381,209.018,98.25696
2.138,714.307,3634.254,210,98.10981
2.148,721.213,3641.16,210.98,97.96266
2.158,728.151,3648.098,211.958,97.81551
2.168,735.121,3655.068,212.935,97.66836
2.178,742.123,3662.07,213.911,97.52121
2.188,749.157,3669.104,214.885,97.37406
2.198,756.223,3676.17,215.858,97.22691
2.208,763.321,3683.268,216.829,97.06995
2.218,770.45,3690.398,217.799,96.9228
2.228,777.612,3697.559,218.767,96.76584
2.238,784.805,3704.753,219.733,96.61869
2.248,792.03,3711.978,220.698,96.46173
2.253,795.473,3715.42,221.156,96.38325
2.26,800.651,3720.598,221.841,95.99085
2.27,807.945,3727.892,222.798,95.44149
2.28,815.27,3735.217,223.749,94.88232
2.29,822.626,3742.574,224.695,94.33296
2.3,830.014,3749.961,225.635,93.77379
2.31,837.432,3757.379,226.57,93.21462
2.32,844.88,3764.828,227.499,92.65545
2.33,852.359,3772.307,228.422,92.08647
2.34,859.869,3779.816,229.34,91.5273
2.35,867.408,3787.355,230.252,90.95832
2.36,874.977,3794.925,231.159,90.39915
2.37,882.576,3802.523,232.06,89.83017
2.38,890.204,3810.151,232.955,89.26119
2.39,897.861,3817.809,233.844,88.69221
2.4,905.548,3825.496,234.728,88.12323
2.406,910.077,3830.025,235.245,87.78969
2.415,916.89,3836.837,236.014,86.8185
2.425,924.647,3844.595,236.876,85.70997
2.435,932.433,3852.38,237.727,84.61125
2.445,940.246,3860.194,238.567,83.50272
2.455,948.087,3868.034,239.397,82.404
2.465,955.954,3875.902,240.215,81.29547
2.475,963.849,3883.796,241.022,80.19675
2.485,971.769,3891.717,241.818,79.09803
2.495,979.716,3899.664,242.604,77.9895
2.505,987.688,3907.636,243.378,76.89078
2.515,995.686,3915.633,244.141,75.79206
2.525,1003.708,3923.655,244.893,74.69334
2.535,1011.755,3931.702,245.634,73.59462
2.545,1019.825,3939.773,246.365,72.4959
2.555,1027.92,3947.868,247.084,71.40699
2.565,1036.038,3955.986,247.792,70.30827
2.575,1044.179,3964.127,248.489,69.20955
2.578,1046.779,3966.727,248.709,68.8662
2.583,1050.683,3970.631,249.038,68.69943
2.59,1056.549,3976.496,249.53,68.44437
2.6,1064.747,3984.694,250.212,68.09121
2.61,1072.967,3992.914,250.891,67.74786
2.62,1081.209,4001.157,251.567,67.3947
2.63,1089.474,4009.421,252.239,67.04154
2.64,1097.76,4017.708,252.907,66.68838
2.65,1106.069,4026.016,253.572,66.33522
2.66,1114.399,4034.346,254.233,65.98206
2.67,1122.751,4042.698,254.891,65.6289
2.68,1131.124,4051.071,255.545,65.27574
2.69,1139.519,4059.466,256.196,64.92258
2.7,1147.935,4067.882,256.843,64.55961
2.71,1156.372,4076.319,257.487,64.20645
2.72,1164.83,4084.778,258.127,63.84348
2.73,1173.309,4093.257,258.764,63.49032
2.74,1181.809,4101.757,259.396,63.12735
2.75,1190.33,4110.277,260.026,62.76438
2.76,1198.871,4118.819,260.651,62.40141
2.77,1207.433,4127.381,261.273,62.03844
2.78,1216.015,4135.963,261.892,61.67547
2.79,1224.617,4144.565,262.506,61.30269
2.8,1233.24,4153.187,263.117,60.93972
2.81,1241.882,4161.83,263.725,60.57675
2.82,1250.545,4170.492,264.328,60.20397
2.83,1259.227,4179.174,264.928,59.841
2.84,1267.928,4187.876,265.525,59.46822
2.85,1276.65,4196.597,266.118,59.10525
2.86,1285.39,4205.338,266.707,58.73247
2.87,1294.15,4214.097,267.292,58.3695
2.88,1302.929,4222.876,267.874,58.00653
2.89,1311.727,4231.674,268.451,57.63375
2.9,1320.544,4240.491,269.026,57.27078
2.91,1329.379,4249.327,269.596,56.90781
2.92,1338.234,4258.181,270.163,56.53503
2.93,1347.107,4267.054,270.727,56.17206
2.94,1355.998,4275.945,271.287,55.80909
2.95,1364.908,4284.855,271.843,55.44612
2.96,1373.835,4293.783,272.395,55.08315
2.97,1382.781,4302.729,272.944,54.72018
2.98,1391.745,4311.693,273.489,54.35721
2.99,1400.727,4320.674,274.031,53.99424
3,1409.726,4329.674,274.569,53.63127
3.01,1418.743,4338.69,275.103,53.2683
3.02,1427.777,4347.725,275.634,52.90533
3.03,1436.829,4356.777,276.161,52.54236
3.04,1445.898,4365.846,276.684,52.16958
3.05,1454.984,4374.932,277.204,51.80661
3.06,1464.087,4384.035,277.72,51.44364
3.065,1468.688,4388.635,277.979,51.25725
3.073,1475.597,4395.544,278.366,51.04143
3.083,1484.738,4404.685,278.875,50.76675
3.093,1493.896,4413.843,279.381,50.48226
3.103,1503.07,4423.018,279.884,50.20758
3.113,1512.261,4432.208,280.385,49.92309
3.123,1521.468,4441.415,280.882,49.6386
3.133,1530.691,4450.639,281.377,49.35411
3.143,1539.931,4459.878,281.869,49.06962
3.153,1549.187,4469.134,282.358,48.78513
3.163,1558.458,4478.406,282.844,48.49083
3.173,1567.746,4487.694,283.328,48.20634
3.183,1577.049,4496.997,283.808,47.92185
3.193,1586.369,4506.316,284.286,47.63736
3.203,1595.703,4515.651,284.761,47.34306
3.213,1605.054,4525.001,285.232,47.05857
3.223,1614.419,4534.367,285.701,46.76427
3.233,1623.8,4543.748,286.167,46.47978
3.243,1633.197,4553.144,286.631,46.19529
3.253,1642.608,4562.556,287.091,45.9108
3.263,1652.035,4571.982,287.549,45.6165
3.273,1661.476,4581.424,288.003,45.33201
3.283,1670.932,4590.88,288.455,45.04752
3.293,1680.404,4600.351,288.904,44.76303
3.303,1689.889,4609.837,289.35,44.47854
3.313,1699.39,4619.337,289.793,44.19405
3.323,1708.905,4628.852,290.234,43.90956
3.333,1718.434,4638.381,290.671,43.62507
3.343,1727.978,4647.925,291.106,43.34058
3.353,1737.535,4657.483,291.538,43.05609
3.363,1747.107,4667.055,291.966,42.7716
3.373,1756.693,4676.641,292.393,42.4773
3.383,1766.293,4686.241,292.816,42.19281
3.393,1775.907,4695.854,293.236,41.90832
3.403,1785.534,4705.482,293.654,41.61402
3.413,1795.175,4715.123,294.068,41.31972
3.423,1804.83,4724.778,294.48,41.03523
3.433,1814.498,4734.446,294.889,40.74093
3.443,1824.18,4744.127,295.294,40.44663
3.453,1833.874,4753.822,295.697,40.15233
3.463,1843.582,4763.53,296.097,39.85803
3.473,1853.303,4773.251,296.494,39.56373
3.483,1863.037,4782.985,296.888,39.25962
3.493,1872.784,4792.732,297.279,38.96532
3.503,1882.544,4802.491,297.667,38.66121
3.513,1892.316,4812.264,298.052,38.36691
3.523,1902.101,4822.048,298.434,38.0628
3.533,1911.898,4831.846,298.813,37.78812
3.543,1921.708,4841.656,299.19,37.56249
3.553,1931.53,4851.478,299.564,37.33686
3.563,1941.364,4861.312,299.936,37.11123
3.573,1951.211,4871.159,300.306,36.87579
3.583,1961.493,4881.441,300.689,36.64035
3.593,1971.365,4891.312,301.055,36.50301
3.603,1981.248,4901.195,301.419,36.35586
3.613,1991.143,4911.09,301.782,36.20871
3.623,2001.05,4920.997,302.143,36.06156
3.633,2010.968,4930.916,302.503,35.92422
3.643,2020.899,4940.846,302.861,35.77707
3.653,2030.841,4950.789,303.218,35.62992
3.663,2040.795,4960.743,303.574,35.49258
3.673,2050.761,4970.708,303.928,35.34543
3.683,2060.738,4980.685,304.28,35.20809
3.693,2070.727,4990.674,304.632,35.06094
3.703,2080.727,5000.674,304.981,34.91379
3.713,2090.738,5010.686,305.33,34.77645
3.723,2100.762,5020.709,305.677,34.6293
3.733,2110.796,5030.743,306.022,34.48215
3.743,2120.842,5040.789,306.366,34.335
3.753,2130.899,5050.846,306.708,34.18785
3.763,2140.967,5060.914,307.05,34.05051
3.773,2151.046,5070.994,307.389,33.90336
3.783,2161.137,5081.084,307.727,33.75621
3.793,2171.238,5091.186,308.064,33.60906
3.803,2181.351,5101.298,308.399,33.46191
3.813,2191.474,5111.422,308.733,33.31476
3.823,2201.609,5121.556,309.065,33.16761
3.833,2211.754,5131.702,309.396,33.02046
3.838,2216.831,5136.779,309.561,32.94198
3.846,2224.451,5144.399,309.805,32.09832
3.856,2234.621,5154.568,310.12,30.97017
3.866,2244.8,5164.748,310.424,29.84202
3.876,2254.99,5174.937,310.717,28.72368
3.886,2265.188,5185.136,310.998,27.59553
3.896,2275.396,5195.344,311.268,26.47719
3.906,2285.613,5205.56,311.527,25.35885
3.913,2293.28,5213.228,311.715,24.525
3.923,2303.511,5223.459,311.941,20.85606
3.933,2313.749,5233.696,312.132,17.19693
3.943,2323.992,5243.939,312.285,13.54761
3.953,2334.239,5254.187,312.402,9.89829
3.963,2344.49,5264.438,312.483,6.24897
3.973,2354.743,5274.691,312.527,2.60946
3.983,2364.997,5284.944,312.535,-1.02024
3.993,2375.25,5295.198,312.507,-4.64994
3.995,2377.301,5297.248,312.497,-5.36607
3.998,2380.377,5300.324,312.48,-5.7879
4.003,2384.99,5304.937,312.453,-6.40593
4.009,2391.909,5311.856,312.407,-7.32807
4.019,2402.157,5322.104,312.326,-8.70147
4.029,2412.402,5332.35,312.233,-10.07487
4.039,2422.645,5342.592,312.125,-11.44827
4.049,2432.883,5352.83,312.004,-12.82167
4.059,2443.117,5363.065,311.869,-14.18526
4.069,2453.347,5373.294,311.72,-15.54885
4.079,2463.571,5383.518,311.558,-16.91244
4.089,2473.79,5393.737,311.382,-18.26622
4.099,2484.003,5403.95,311.193,-19.62981
4.109,2493.954,5413.902,310.995,-20.95416
4.119,2504.154,5424.101,310.784,-21.24846
4.129,2514.347,5434.294,310.57,-21.55257
4.139,2524.532,5444.48,310.353,-21.85668
4.149,2534.711,5454.659,310.133,-22.15098
4.159,2544.882,5464.83,309.91,-22.45509
4.169,2555.046,5474.994,309.684,-22.74939
4.179,2565.203,5485.15,309.455,-23.04369
4.189,2575.352,5495.299,309.223,-23.33799
4.199,2585.493,5505.441,308.989,-23.63229
4.209,2595.627,5515.574,308.751,-23.92659
4.219,2605.752,5525.7,308.51,-24.22089
4.229,2615.87,5535.817,308.267,-24.51519
4.239,2625.98,5545.927,308.02,-24.80949
4.249,2636.081,5556.029,307.771,-25.10379
4.259,2646.175,5566.122,307.518,-25.38828
4.269,2656.26,5576.207,307.263,-25.68258
4.279,2666.336,5586.284,307.005,-25.97688
4.289,2676.404,5596.352,306.744,-26.26137
4.299,2686.464,5606.411,306.48,-26.55567
4.309,2696.514,5616.462,306.213,-26.84997
4.319,2706.556,5626.504,305.943,-27.13446
4.329,2716.589,5636.537,305.67,-27.42876
4.339,2726.613,5646.561,305.394,-27.71325
4.349,2736.628,5656.576,305.116,-28.00755
4.352,2739.631,5659.578,305.032,-28.09584
4.357,2744.133,5664.081,304.905,-28.43919
4.363,2750.884,5670.831,304.711,-28.94931
4.373,2760.876,5680.823,304.418,-29.71449
4.383,2770.858,5690.806,304.117,-30.47967
4.393,2780.831,5700.779,303.808,-31.24485
