# 6 Degree M1845 (Up to date),,,,
# 3090 data points written for 5 variables.,,,,
# Simulation warnings:,,,,
"#   Recovery device deployment at high speed (23.8 m/s):  ""Drogue""",,,,
"#   Recovery device deployment at high speed (27.7 m/s):  ""Main""",,,,
#,,,,
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Vertical acceleration (m/s^2)
# Event IGNITION occurred at t=0 seconds,,,,
# Event LAUNCH occurred at t=0 seconds,,,,
4.403,2790.793,5710.741,303.492,-32.00022
4.413,2800.745,5720.693,303.169,-32.75559
4.423,2810.686,5730.634,302.837,-33.52077
4.433,2820.616,5740.564,302.499,-34.27614
4.443,2830.535,5750.483,302.152,-35.03151
4.453,2840.442,5760.39,301.798,-35.77707
4.463,2850.338,5770.286,301.437,-36.53244
4.473,2860.222,5780.169,301.068,-37.278
4.483,2870.093,5790.041,300.691,-38.02356
4.493,2879.952,5799.9,300.308,-38.76912
4.498,2884.631,5804.578,300.123,-39.13209
4.505,2891.643,5811.59,299.844,-39.12228
4.515,2901.474,5821.421,299.453,-39.12228
4.525,2911.292,5831.24,299.062,-39.11247
4.535,2921.097,5841.045,298.671,-39.10266
4.545,2930.89,5850.837,298.28,-39.10266
4.555,2940.67,5860.617,297.889,-39.09285
4.565,2950.436,5870.384,297.498,-39.09285
4.575,2960.191,5880.138,297.108,-39.03399
4.585,2969.932,5889.879,296.718,-38.96532
4.595,2979.66,5899.608,296.329,-38.89665
4.605,2989.376,5909.323,295.94,-38.83779
4.615,2999.079,5919.026,295.552,-38.76912
4.625,3008.769,5928.717,295.165,-38.71026
4.635,3018.447,5938.394,294.778,-38.6514
4.645,3028.112,5948.059,294.392,-38.59254
4.655,3037.764,5957.711,294.007,-38.53368
4.665,3047.403,5967.351,293.622,-38.47482
4.675,3057.03,5976.978,293.238,-38.42577
4.685,3066.645,5986.592,292.854,-38.36691
4.695,3076.246,5996.194,292.47,-38.31786
4.705,3085.836,6005.783,292.088,-38.26881
4.715,3095.412,6015.36,291.705,-38.21976
4.725,3104.976,6024.924,291.324,-38.17071
# Event BURNOUT occurred at t=4.729 seconds,,,,
# Event EJECTION_CHARGE occurred at t=4.729 seconds,,,,
4.729,3108.679,6028.627,291.176,-38.15109
4.735,3114.23,6034.177,290.954,-38.07261
4.744,3122.548,6042.495,290.623,-37.9647
4.754,3132.076,6052.024,290.244,-37.83717
4.764,3141.593,6061.54,289.866,-37.70964
4.774,3151.096,6071.044,289.49,-37.59192
4.784,3160.588,6080.536,289.115,-37.46439
4.794,3170.067,6090.015,288.741,-37.34667
4.804,3179.534,6099.482,288.368,-37.21914
4.814,3188.989,6108.937,287.997,-37.10142
4.824,3198.432,6118.379,287.626,-36.9837
4.834,3207.862,6127.81,287.257,-36.86598
4.844,3217.281,6137.228,286.889,-36.74826
4.854,3226.687,6146.634,286.523,-36.63054
4.864,3236.081,6156.029,286.157,-36.52263
4.874,3245.464,6165.411,285.792,-36.40491
4.884,3254.834,6174.782,285.429,-36.297
4.894,3264.193,6184.14,285.067,-36.17928
4.904,3273.539,6193.487,284.706,-36.07137
4.914,3282.874,6202.822,284.346,-35.96346
4.924,3292.197,6212.145,283.987,-35.85555
4.934,3301.508,6221.456,283.629,-35.74764
4.944,3310.808,6230.756,283.272,-35.63973
4.954,3320.096,6240.043,282.916,-35.53182
4.964,3329.372,6249.32,282.562,-35.43372
4.974,3338.637,6258.584,282.208,-35.32581
4.984,3347.89,6267.837,281.855,-35.22771
4.994,3357.131,6277.079,281.504,-35.1198
5.004,3366.361,6286.309,281.153,-35.0217
5.014,3375.579,6295.527,280.803,-34.9236
5.024,3384.786,6304.734,280.455,-34.8255
5.034,3393.982,6313.93,280.107,-34.7274
5.044,3403.166,6323.114,279.76,-34.6293
5.054,3412.339,6332.287,279.415,-34.5312
5.064,3421.501,6341.448,279.07,-34.44291
5.074,3430.651,6350.598,278.726,-34.34481
5.084,3439.79,6359.737,278.383,-34.24671
5.094,3448.917,6368.865,278.041,-34.15842
5.104,3458.034,6377.981,277.7,-34.06032
5.114,3467.139,6387.087,277.36,-33.97203
5.124,3476.233,6396.181,277.021,-33.87393
5.134,3485.316,6405.264,276.683,-33.78564
5.144,3494.388,6414.336,276.346,-33.69735
5.154,3503.449,6423.397,276.01,-33.59925
5.164,3512.499,6432.447,275.674,-33.51096
5.174,3521.538,6441.486,275.34,-33.42267
5.184,3530.566,6450.514,275.006,-33.33438
5.194,3539.583,6459.531,274.673,-33.24609
5.204,3548.589,6468.537,274.341,-33.1578
5.214,3557.585,6477.532,274.01,-33.06951
5.224,3566.569,6486.517,273.68,-32.98122
5.234,3575.543,6495.49,273.351,-32.90274
5.244,3584.505,6504.453,273.022,-32.81445
5.254,3593.458,6513.405,272.695,-32.72616
5.264,3602.399,6522.346,272.368,-32.64768
5.274,3611.329,6531.277,272.042,-32.55939
5.284,3620.249,6540.197,271.717,-32.48091
5.294,3629.159,6549.106,271.393,-32.40243
5.304,3638.057,6558.005,271.069,-32.31414
5.314,3646.945,6566.893,270.746,-32.23566
5.324,3655.823,6575.77,270.425,-32.15718
5.334,3664.69,6584.637,270.104,-32.0787
5.344,3673.546,6593.494,269.783,-32.00022
5.354,3682.392,6602.34,269.464,-31.92174
5.364,3691.227,6611.175,269.145,-31.84326
5.374,3700.052,6620,268.827,-31.76478
5.384,3708.867,6628.815,268.51,-31.6863
5.394,3717.671,6637.619,268.194,-31.61763
5.404,3726.465,6646.413,267.878,-31.53915
5.414,3735.249,6655.196,267.563,-31.46067
5.424,3744.022,6663.969,267.249,-31.392
5.434,3752.785,6672.732,266.935,-31.31352
5.444,3761.537,6681.485,266.623,-31.24485
5.454,3770.28,6690.227,266.311,-31.16637
5.464,3779.012,6698.959,266,-31.0977
5.474,3787.734,6707.681,265.689,-31.01922
5.484,3796.445,6716.393,265.379,-30.95055
5.494,3805.147,6725.094,265.07,-30.87207
5.504,3813.838,6733.786,264.762,-30.8034
5.514,3822.52,6742.467,264.455,-30.73473
5.524,3831.191,6751.139,264.148,-30.65625
5.534,3839.852,6759.8,263.842,-30.58758
5.544,3848.504,6768.451,263.536,-30.51891
5.554,3857.145,6777.092,263.231,-30.45024
5.564,3865.776,6785.723,262.927,-30.38157
5.574,3874.397,6794.345,262.624,-30.3129
5.584,3883.008,6802.956,262.321,-30.24423
5.594,3891.61,6811.557,262.019,-30.17556
5.604,3900.201,6820.149,261.718,-30.10689
5.614,3908.783,6828.731,261.418,-30.03822
5.624,3917.355,6837.302,261.118,-29.96955
5.634,3925.917,6845.864,260.818,-29.90088
5.644,3934.469,6854.416,260.52,-29.84202
5.654,3943.011,6862.959,260.222,-29.77335
5.664,3951.544,6871.491,259.924,-29.70468
5.674,3960.067,6880.014,259.628,-29.64582
5.684,3968.58,6888.527,259.332,-29.57715
5.694,3977.083,6897.031,259.036,-29.51829
5.704,3985.577,6905.524,258.742,-29.44962
5.714,3994.061,6914.008,258.448,-29.39076
5.724,4002.535,6922.483,258.154,-29.32209
5.734,4011,6930.948,257.861,-29.26323
5.744,4019.455,6939.403,257.569,-29.19456
5.754,4027.901,6947.849,257.278,-29.1357
5.764,4036.337,6956.285,256.987,-29.07684
5.774,4044.764,6964.711,256.696,-29.01798
5.784,4053.181,6973.128,256.407,-28.94931
5.794,4061.588,6981.536,256.117,-28.89045
5.804,4069.986,6989.934,255.829,-28.83159
5.814,4078.375,6998.322,255.541,-28.77273
5.824,4086.754,7006.702,255.254,-28.71387
5.834,4095.124,7015.071,254.967,-28.6452
5.844,4103.484,7023.432,254.681,-28.58634
5.854,4111.835,7031.783,254.395,-28.52748
5.864,4120.177,7040.124,254.111,-28.46862
5.874,4128.509,7048.457,253.826,-28.40976
5.884,4136.832,7056.78,253.542,-28.3509
5.894,4145.146,7065.093,253.259,-28.29204
5.904,4153.45,7073.398,252.977,-28.23318
5.914,4161.745,7081.693,252.695,-28.18413
5.924,4170.031,7089.979,252.413,-28.12527
5.934,4178.308,7098.255,252.133,-28.06641
5.944,4186.575,7106.523,251.852,-28.00755
5.954,4194.834,7114.781,251.573,-27.94869
5.964,4203.083,7123.03,251.293,-27.89964
5.974,4211.323,7131.27,251.015,-27.84078
5.984,4219.554,7139.501,250.737,-27.78192
5.994,4227.775,7147.723,250.459,-27.72306
6.004,4235.988,7155.935,250.182,-27.67401
6.014,4244.192,7164.139,249.906,-27.61515
6.024,4252.386,7172.334,249.63,-27.5661
6.034,4260.571,7180.519,249.355,-27.50724
6.044,4268.748,7188.695,249.08,-27.45819
6.054,4276.915,7196.863,248.806,-27.39933
6.064,4285.074,7205.021,248.532,-27.35028
6.074,4293.223,7213.171,248.259,-27.29142
6.084,4301.364,7221.311,247.987,-27.24237
6.094,4309.495,7229.443,247.715,-27.19332
6.104,4317.618,7237.566,247.443,-27.13446
6.114,4325.732,7245.679,247.172,-27.08541
6.124,4333.837,7253.784,246.902,-27.03636
6.134,4341.933,7261.88,246.632,-26.9775
6.144,4350.02,7269.967,246.362,-26.92845
6.154,4358.098,7278.046,246.093,-26.8794
6.164,4366.168,7286.115,245.825,-26.83035
6.174,4374.228,7294.176,245.557,-26.7813
6.184,4382.28,7302.228,245.289,-26.72244
6.194,4390.324,7310.271,245.022,-26.67339
6.204,4398.358,7318.305,244.756,-26.62434
6.214,4406.384,7326.331,244.49,-26.57529
6.224,4414.401,7334.348,244.225,-26.52624
6.234,4422.409,7342.356,243.96,-26.47719
6.244,4430.408,7350.356,243.695,-26.42814
6.254,4438.399,7358.347,243.431,-26.37909
6.264,4446.382,7366.329,243.168,-26.33004
6.274,4454.355,7374.303,242.905,-26.28099
6.284,4462.32,7382.268,242.642,-26.23194
6.294,4470.277,7390.224,242.38,-26.18289
6.304,4478.225,7398.172,242.119,-26.13384
6.314,4486.164,7406.111,241.858,-26.08479
6.324,4494.094,7414.042,241.597,-26.03574
6.334,4502.017,7421.964,241.337,-25.9965
6.344,4509.93,7429.878,241.078,-25.94745
6.354,4517.835,7437.783,240.819,-25.8984
6.364,4525.732,7445.68,240.56,-25.84935
6.374,4533.62,7453.568,240.302,-25.8003
6.384,4541.5,7461.447,240.044,-25.76106
6.394,4549.371,7469.319,239.787,-25.71201
6.404,4557.234,7477.181,239.53,-25.66296
6.414,4565.088,7485.036,239.274,-25.62372
6.424,4572.934,7492.882,239.018,-25.57467
6.434,4580.772,7500.719,238.762,-25.52562
6.444,4588.601,7508.549,238.507,-25.48638
6.454,4596.422,7516.369,238.253,-25.43733
6.464,4604.235,7524.182,237.999,-25.39809
6.474,4612.039,7531.986,237.745,-25.34904
6.484,4619.835,7539.782,237.492,-25.29999
6.494,4627.622,7547.57,237.239,-25.26075
6.504,4635.401,7555.349,236.987,-25.22151
6.514,4643.173,7563.12,236.735,-25.17246
6.524,4650.935,7570.883,236.484,-25.13322
6.534,4658.69,7578.637,236.233,-25.08417
6.544,4666.436,7586.384,235.982,-25.04493
6.554,4674.174,7594.122,235.732,-24.99588
6.564,4681.904,7601.852,235.482,-24.95664
6.574,4689.626,7609.573,235.233,-24.9174
6.584,4697.339,7617.287,234.984,-24.86835
6.594,4705.045,7624.992,234.736,-24.82911
6.604,4712.742,7632.689,234.488,-24.78987
6.614,4720.431,7640.379,234.24,-24.74082
6.624,4728.112,7648.06,233.993,-24.70158
6.634,4735.785,7655.732,233.746,-24.66234
6.644,4743.45,7663.397,233.5,-24.6231
6.654,4751.106,7671.054,233.254,-24.57405
6.664,4758.755,7678.703,233.009,-24.53481
6.674,4766.396,7686.343,232.764,-24.49557
6.684,4774.028,7693.976,232.519,-24.45633
6.694,4781.653,7701.6,232.275,-24.41709
6.704,4789.269,7709.217,232.031,-24.36804
6.714,4796.878,7716.826,231.787,-24.3288
6.724,4804.479,7724.426,231.544,-24.28956
6.734,4812.071,7732.019,231.302,-24.25032
6.744,4819.656,7739.603,231.06,-24.21108
6.754,4827.233,7747.18,230.818,-24.17184
6.764,4834.801,7754.749,230.576,-24.1326
6.774,4842.362,7762.31,230.335,-24.09336
6.784,4849.915,7769.863,230.095,-24.05412
6.794,4857.46,7777.408,229.854,-24.01488
6.804,4864.998,7784.945,229.615,-23.97564
6.814,4872.527,7792.474,229.375,-23.9364
6.824,4880.048,7799.996,229.136,-23.89716
6.834,4887.562,7807.51,228.897,-23.85792
6.844,4895.068,7815.016,228.659,-23.81868
6.854,4902.566,7822.514,228.421,-23.77944
6.864,4910.056,7830.004,228.184,-23.7402
6.874,4917.539,7837.486,227.947,-23.70096
6.884,4925.013,7844.961,227.71,-23.66172
6.894,4932.48,7852.428,227.474,-23.62248
6.904,4939.94,7859.887,227.238,-23.59305
6.914,4947.391,7867.338,227.002,-23.55381
6.924,4954.835,7874.782,226.767,-23.51457
6.934,4962.271,7882.218,226.532,-23.47533
6.944,4969.699,7889.646,226.297,-23.43609
6.954,4977.12,7897.067,226.063,-23.40666
6.964,4984.532,7904.48,225.829,-23.36742
6.974,4991.938,7911.885,225.596,-23.32818
6.984,4999.335,7919.283,225.363,-23.29875
6.994,5006.725,7926.673,225.13,-23.25951
7.004,5014.108,7934.055,224.898,-23.22027
7.014,5021.482,7941.43,224.666,-23.18103
7.024,5028.85,7948.797,224.434,-23.1516
7.034,5036.209,7956.157,224.203,-23.11236
7.044,5043.561,7963.509,223.972,-23.07312
7.054,5050.905,7970.853,223.742,-23.04369
7.064,5058.242,7978.19,223.512,-23.00445
7.074,5065.572,7985.519,223.282,-22.97502
7.084,5072.893,7992.841,223.052,-22.93578
7.094,5080.208,8000.155,222.823,-22.89654
7.104,5087.514,8007.462,222.594,-22.86711
7.114,5094.813,8014.761,222.366,-22.82787
7.124,5102.105,8022.053,222.138,-22.79844
7.134,5109.389,8029.337,221.91,-22.7592
7.144,5116.666,8036.614,221.683,-22.72977
7.154,5123.936,8043.883,221.456,-22.69053
7.164,5131.197,8051.145,221.229,-22.6611
7.174,5138.452,8058.399,221.003,-22.62186
7.184,5145.699,8065.647,220.777,-22.59243
7.194,5152.939,8072.886,220.551,-22.55319
7.204,5160.171,8080.118,220.326,-22.52376
7.214,5167.396,8087.343,220.101,-22.48452
7.224,5174.613,8094.561,219.876,-22.45509
7.234,5181.823,8101.771,219.652,-22.41585
7.244,5189.026,8108.974,219.428,-22.38642
7.254,5196.221,8116.169,219.205,-22.35699
7.264,5203.41,8123.357,218.981,-22.31775
7.274,5210.59,8130.538,218.758,-22.28832
7.284,5217.764,8137.711,218.536,-22.25889
7.294,5224.93,8144.877,218.313,-22.21965
7.304,5232.089,8152.036,218.091,-22.19022
7.314,5239.24,8159.188,217.87,-22.16079
7.324,5246.385,8166.332,217.648,-22.12155
7.334,5253.522,8173.469,217.427,-22.09212
7.344,5260.652,8180.599,217.207,-22.06269
7.354,5267.774,8187.722,216.986,-22.03326
7.364,5274.89,8194.837,216.766,-21.99402
7.374,5281.998,8201.945,216.546,-21.96459
7.384,5289.099,8209.046,216.327,-21.93516
7.394,5296.192,8216.14,216.108,-21.90573
7.404,5303.279,8223.226,215.889,-21.8763
7.414,5310.358,8230.306,215.671,-21.83706
7.424,5317.431,8237.378,215.452,-21.80763
7.434,5324.496,8244.443,215.235,-21.7782
7.444,5331.554,8251.501,215.017,-21.74877
7.454,5338.604,8258.552,214.8,-21.71934
7.464,5345.648,8265.596,214.583,-21.68991
7.474,5352.685,8272.632,214.366,-21.66048
7.484,5359.714,8279.662,214.15,-21.62124
7.494,5366.736,8286.684,213.934,-21.59181
7.504,5373.752,8293.699,213.718,-21.56238
7.514,5380.76,8300.707,213.503,-21.53295
7.524,5387.761,8307.709,213.288,-21.50352
7.534,5394.755,8314.703,213.073,-21.47409
7.544,5401.742,8321.69,212.858,-21.44466
7.554,5408.722,8328.67,212.644,-21.41523
7.564,5415.695,8335.643,212.43,-21.3858
7.574,5422.661,8342.609,212.216,-21.35637
7.584,5429.62,8349.568,212.003,-21.32694
7.594,5436.572,8356.52,211.79,-21.29751
7.604,5443.517,8363.465,211.577,-21.26808
7.614,5450.455,8370.403,211.365,-21.23865
7.624,5457.386,8377.334,211.153,-21.20922
7.634,5464.31,8384.258,210.941,-21.17979
7.644,5471.228,8391.175,210.729,-21.15036
7.654,5478.138,8398.085,210.518,-21.12093
7.664,5485.041,8404.989,210.307,-21.0915
7.674,5491.937,8411.885,210.096,-21.06207
7.684,5498.827,8418.774,209.886,-21.03264
7.694,5505.71,8425.657,209.676,-21.00321
7.704,5512.585,8432.533,209.466,-20.98359
7.714,5519.454,8439.401,209.256,-20.95416
7.724,5526.316,8446.263,209.047,-20.92473
7.734,5533.171,8453.118,208.838,-20.8953
7.744,5540.019,8459.967,208.629,-20.86587
7.754,5546.861,8466.808,208.421,-20.83644
7.764,5553.695,8473.643,208.213,-20.80701
7.774,5560.523,8480.47,208.005,-20.78739
7.784,5567.344,8487.291,207.797,-20.75796
7.794,5574.158,8494.105,207.59,-20.72853
7.804,5580.965,8500.913,207.383,-20.6991
7.814,5587.766,8507.713,207.176,-20.66967
7.824,5594.559,8514.507,206.969,-20.65005
7.834,5601.346,8521.294,206.763,-20.62062
7.844,5608.126,8528.074,206.557,-20.59119
7.854,5614.9,8534.847,206.351,-20.56176
7.864,5621.667,8541.614,206.146,-20.54214
7.874,5628.427,8548.374,205.941,-20.51271
7.884,5635.18,8555.127,205.736,-20.48328
7.894,5641.926,8561.874,205.531,-20.45385
7.904,5648.666,8568.614,205.327,-20.43423
7.914,5655.399,8575.347,205.123,-20.4048
7.924,5662.126,8582.073,204.919,-20.37537
7.934,5668.845,8588.793,204.715,-20.35575
7.944,5675.558,8595.506,204.512,-20.32632
7.954,5682.265,8602.212,204.309,-20.29689
7.964,5688.964,8608.912,204.106,-20.27727
7.974,5695.657,8615.605,203.904,-20.24784
7.984,5702.344,8622.291,203.701,-20.21841
7.994,5709.024,8628.971,203.499,-20.19879
8.004,5715.697,8635.644,203.297,-20.16936
8.014,5722.363,8642.311,203.096,-20.13993
8.024,5729.023,8648.971,202.895,-20.12031
8.034,5735.677,8655.624,202.694,-20.09088
8.044,5742.323,8662.271,202.493,-20.07126
8.054,5748.964,8668.911,202.292,-20.04183
8.064,5755.597,8675.545,202.092,-20.0124
8.074,5762.224,8682.172,201.892,-19.99278
8.084,5768.845,8688.792,201.693,-19.96335
8.094,5775.459,8695.406,201.493,-19.94373
8.104,5782.066,8702.014,201.294,-19.9143
8.114,5788.667,8708.614,201.095,-19.89468
8.124,5795.261,8715.209,200.896,-19.86525
8.134,5801.849,8721.797,200.698,-19.84563
8.144,5808.43,8728.378,200.499,-19.8162
8.154,5815.005,8734.953,200.301,-19.79658
8.164,5821.574,8741.521,200.104,-19.76715
8.174,5828.135,8748.083,199.906,-19.74753
8.184,5834.691,8754.638,199.709,-19.7181
8.194,5841.24,8761.187,199.512,-19.69848
8.204,5847.782,8767.73,199.315,-19.66905
8.214,5854.318,8774.266,199.119,-19.64943
8.224,5860.848,8780.795,198.922,-19.62
8.234,5867.371,8787.318,198.726,-19.60038
8.244,5873.887,8793.835,198.531,-19.57095
8.254,5880.398,8800.345,198.335,-19.55133
8.264,5886.902,8806.849,198.14,-19.5219
8.274,5893.399,8813.347,197.945,-19.50228
8.284,5899.89,8819.838,197.75,-19.48266
8.294,5906.375,8826.322,197.555,-19.45323
8.304,5912.853,8832.801,197.361,-19.43361
8.314,5919.325,8839.272,197.167,-19.40418
8.324,5925.791,8845.738,196.973,-19.38456
8.334,5932.25,8852.197,196.779,-19.36494
8.344,5938.703,8858.65,196.586,-19.33551
8.354,5945.149,8865.097,196.392,-19.31589
8.364,5951.589,8871.537,196.199,-19.29627
8.374,5958.023,8877.971,196.007,-19.26684
8.384,5964.451,8884.398,195.814,-19.24722
8.394,5970.872,8890.819,195.622,-19.2276
8.404,5977.287,8897.234,195.43,-19.19817
8.414,5983.695,8903.643,195.238,-19.17855
8.424,5990.097,8910.045,195.046,-19.15893
8.434,5996.494,8916.441,194.855,-19.1295
# Event CONTROLS_ONLINE occurred at t=8.444 seconds,,,,
8.454,5998.32,8918.32,194.671,-24.49557
8.464,6004.703,8924.703,194.427,-24.45633
8.474,6011.078,8931.078,194.182,-24.40728
8.484,6017.445,8937.445,193.939,-24.36804
8.494,6023.804,8943.804,193.695,-24.31899
8.504,6030.154,8950.154,193.452,-24.27975
8.514,6036.497,8956.497,193.21,-24.2307
8.524,6042.832,8962.832,192.968,-24.19146
8.534,6049.159,8969.159,192.726,-24.15222
8.544,6055.478,8975.478,192.485,-24.10317
8.554,6061.789,8981.789,192.244,-24.06393
8.564,6068.093,8988.093,192.004,-24.02469
8.574,6074.388,8994.388,191.764,-23.97564
8.584,6080.676,9000.676,191.525,-23.9364
8.594,6086.955,9006.955,191.285,-23.89716
8.604,6093.227,9013.227,191.047,-23.84811
8.614,6099.491,9019.491,190.809,-23.80887
8.624,6105.747,9025.747,190.571,-23.76963
8.634,6111.996,9031.996,190.333,-23.73039
8.644,6118.237,9038.237,190.096,-23.68134
8.654,6124.469,9044.469,189.86,-23.6421
8.664,6130.695,9050.695,189.624,-23.60286
8.674,6136.912,9056.912,189.388,-23.56362
8.684,6143.122,9063.122,189.153,-23.52438
8.694,6149.324,9069.324,188.918,-23.48514
8.704,6155.518,9075.518,188.683,-23.43609
8.714,6161.704,9081.704,188.449,-23.39685
8.724,6167.883,9087.883,188.215,-23.35761
8.734,6174.054,9094.054,187.982,-23.31837
8.744,6180.218,9100.218,187.749,-23.27913
8.754,6186.374,9106.374,187.517,-23.23989
8.764,6192.522,9112.522,187.284,-23.20065
8.774,6198.663,9118.663,187.053,-23.16141
8.784,6204.796,9124.796,186.821,-23.12217
8.794,6210.922,9130.922,186.59,-23.08293
8.804,6217.04,9137.04,186.36,-23.04369
8.814,6223.15,9143.15,186.13,-23.00445
8.824,6229.253,9149.253,185.9,-22.96521
8.834,6235.348,9155.348,185.671,-22.92597
8.844,6241.436,9161.436,185.442,-22.88673
8.854,6247.516,9167.516,185.213,-22.84749
8.864,6253.589,9173.589,184.985,-22.80825
8.874,6259.654,9179.654,184.757,-22.76901
8.884,6265.712,9185.712,184.529,-22.73958
8.894,6271.762,9191.762,184.302,-22.70034
8.904,6277.805,9197.805,184.076,-22.6611
8.914,6283.841,9203.841,183.849,-22.62186
8.924,6289.869,9209.869,183.623,-22.58262
8.934,6295.89,9215.89,183.398,-22.54338
8.944,6301.903,9221.903,183.173,-22.51395
8.954,6307.909,9227.909,182.948,-22.47471
8.964,6313.907,9233.907,182.723,-22.43547
8.974,6319.899,9239.899,182.499,-22.39623
8.984,6325.882,9245.882,182.275,-22.3668
8.994,6331.859,9251.859,182.052,-22.32756
9.004,6337.828,9257.828,181.829,-22.28832
9.014,6343.79,9263.79,181.606,-22.25889
9.024,6349.745,9269.745,181.384,-22.21965
9.034,6355.692,9275.692,181.162,-22.18041
9.044,6361.632,9281.632,180.941,-22.15098
9.054,6367.565,9287.565,180.719,-22.11174
9.064,6373.49,9293.49,180.499,-22.0725
9.074,6379.408,9299.408,180.278,-22.04307
9.084,6385.319,9305.319,180.058,-22.00383
9.094,6391.223,9311.223,179.838,-21.9744
9.104,6397.12,9317.12,179.619,-21.93516
9.114,6403.009,9323.009,179.4,-21.89592
9.124,6408.891,9328.891,179.181,-21.86649
9.134,6414.766,9334.766,178.962,-21.82725
9.144,6420.634,9340.634,178.744,-21.79782
9.154,6426.495,9346.495,178.527,-21.75858
9.164,6432.349,9352.349,178.309,-21.72915
9.174,6438.195,9358.195,178.092,-21.68991
9.184,6444.035,9364.035,177.875,-21.66048
9.194,6449.867,9369.867,177.659,-21.62124
9.204,6455.692,9375.692,177.443,-21.59181
9.214,6461.51,9381.51,177.227,-21.56238
9.224,6467.321,9387.321,177.012,-21.52314
9.234,6473.125,9393.125,176.797,-21.49371
9.244,6478.922,9398.922,176.582,-21.45447
9.254,6484.712,9404.712,176.368,-21.42504
9.264,6490.495,9410.495,176.154,-21.39561
9.274,6496.27,9416.27,175.94,-21.35637
9.284,6502.039,9422.039,175.727,-21.32694
9.294,6507.801,9427.801,175.514,-21.29751
9.304,6513.556,9433.556,175.301,-21.25827
9.314,6519.304,9439.304,175.089,-21.22884
9.324,6525.045,9445.045,174.877,-21.19941
9.334,6530.779,9450.779,174.665,-21.16017
9.344,6536.506,9456.506,174.454,-21.13074
9.354,6542.226,9462.226,174.243,-21.10131
9.364,6547.939,9467.939,174.032,-21.07188
9.374,6553.645,9473.645,173.821,-21.03264
9.384,6559.345,9479.345,173.611,-21.00321
9.394,6565.037,9485.037,173.402,-20.97378
9.404,6570.723,9490.723,173.192,-20.94435
9.414,6576.401,9496.401,172.983,-20.90511
9.424,6582.073,9502.073,172.774,-20.87568
9.434,6587.738,9507.738,172.565,-20.84625
9.444,6593.396,9513.396,172.357,-20.81682
9.454,6599.048,9519.048,172.149,-20.78739
9.464,6604.692,9524.692,171.942,-20.74815
9.474,6610.33,9530.33,171.734,-20.71872
9.484,6615.961,9535.961,171.527,-20.68929
9.494,6621.585,9541.585,171.321,-20.65986
9.504,6627.202,9547.202,171.114,-20.63043
9.514,6632.813,9552.813,170.908,-20.601
9.524,6638.417,9558.417,170.703,-20.57157
9.534,6644.014,9564.014,170.497,-20.54214
9.544,6649.604,9569.604,170.292,-20.51271
9.554,6655.188,9575.188,170.087,-20.47347
9.564,6660.765,9580.765,169.882,-20.44404
9.574,6666.335,9586.335,169.678,-20.41461
9.584,6671.899,9591.899,169.474,-20.38518
9.594,6677.456,9597.456,169.271,-20.35575
9.604,6683.006,9603.006,169.067,-20.32632
9.614,6688.549,9608.549,168.864,-20.29689
9.624,6694.086,9614.086,168.661,-20.26746
9.634,6699.616,9619.616,168.459,-20.23803
9.644,6705.14,9625.14,168.257,-20.2086
9.654,6710.657,9630.657,168.055,-20.17917
9.664,6716.167,9636.167,167.853,-20.14974
9.674,6721.671,9641.671,167.652,-20.13012
9.684,6727.168,9647.168,167.451,-20.10069
9.694,6732.658,9652.658,167.25,-20.07126
9.704,6738.142,9658.142,167.049,-20.04183
9.714,6743.62,9663.62,166.849,-20.0124
9.724,6749.09,9669.09,166.649,-19.98297
9.734,6754.555,9674.555,166.45,-19.95354
9.744,6760.012,9680.012,166.25,-19.92411
9.754,6765.463,9685.463,166.051,-19.89468
9.764,6770.908,9690.908,165.853,-19.87506
9.774,6776.346,9696.346,165.654,-19.84563
9.784,6781.778,9701.778,165.456,-19.8162
9.794,6787.203,9707.203,165.258,-19.78677
9.804,6792.621,9712.621,165.06,-19.75734
9.814,6798.033,9718.033,164.863,-19.72791
9.824,6803.439,9723.439,164.666,-19.70829
9.834,6808.838,9728.838,164.469,-19.67886
9.844,6814.231,9734.231,164.272,-19.64943
9.854,6819.617,9739.617,164.076,-19.62
9.864,6824.997,9744.997,163.88,-19.60038
9.874,6830.371,9750.371,163.684,-19.57095
9.884,6835.738,9755.738,163.489,-19.54152
9.894,6841.098,9761.098,163.293,-19.51209
9.904,6846.452,9766.452,163.099,-19.49247
9.914,6851.8,9771.8,162.904,-19.46304
9.924,6857.142,9777.142,162.709,-19.43361
9.934,6862.477,9782.477,162.515,-19.40418
9.944,6867.805,9787.805,162.321,-19.38456
9.954,6873.128,9793.128,162.128,-19.35513
9.964,6878.444,9798.444,161.934,-19.3257
9.974,6883.753,9803.753,161.741,-19.30608
9.984,6889.057,9809.057,161.548,-19.27665
9.994,6894.354,9814.354,161.356,-19.24722
10.004,6899.644,9819.644,161.164,-19.2276
10.014,6904.929,9824.929,160.972,-19.19817
10.024,6910.207,9830.207,160.78,-19.16874
10.034,6915.479,9835.479,160.588,-19.14912
10.044,6920.744,9840.744,160.397,-19.11969
10.054,6926.003,9846.003,160.206,-19.10007
10.064,6931.256,9851.256,160.015,-19.07064
10.074,6936.503,9856.503,159.825,-19.04121
10.084,6941.743,9861.743,159.634,-19.02159
